"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW"
"US1TXTV0370","MANOR 5.8 W, TX US","2023-01-24",,,"0.38",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-01-25",,,"0.39",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-01-26",,,"0.00","0.0"
"US1TXTV0370","MANOR 5.8 W, TX US","2023-01-29",,,"0.15",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-01-30",,,"0.23",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-01-31",,,"0.07",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-02-01",,,"1.10",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-02-02",,,"0.38",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-02-03",,,"0.02",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-02-11","    5","0.52",,
"US1TXTV0370","MANOR 5.8 W, TX US","2023-02-14",,,"0.03",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-02-16",,,"0.21",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-02-22",,,"0.02",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-03-04","    6","0.86",,
"US1TXTV0370","MANOR 5.8 W, TX US","2023-03-17",,,"0.53",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-03-21",,,"0.24",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-03-22",,,"0.13",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-03-25",,,"0.09",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-04-06",,,"0.31",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-04-07",,,"2.09",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-04-08",,,"0.16",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-04-21",,,"1.60",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-04-26",,,"0.13",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-04-27",,,"0.98",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-04-29",,,"0.73",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-05-06",,,"0.09",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-05-09",,,"0.00","0.0"
"US1TXTV0370","MANOR 5.8 W, TX US","2023-05-12",,,"0.02",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-05-13",,,"1.95",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-05-14",,,"0.23",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-05-15",,,"0.15",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-05-20",,,"0.09",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-05-21",,,"0.01",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-05-24",,,"0.75",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-06-04",,,"0.49",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-06-05",,,"1.61",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-06-06",,,"0.36",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-06-07",,,"0.00",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-06-09",,,"0.14",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-06-10",,,"0.10",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-06-17",,,"0.46",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-06-21",,,"0.00","0.0"
"US1TXTV0370","MANOR 5.8 W, TX US","2023-06-22",,,"0.32",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-06-23",,,"0.01",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-07-07",,,"0.17",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-08-23",,,"0.26",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-09-13",,,"0.00","0.0"
"US1TXTV0370","MANOR 5.8 W, TX US","2023-09-14",,,"0.20",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-09-16","    3","0.24",,
"US1TXTV0370","MANOR 5.8 W, TX US","2023-09-17",,,"0.77",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-09-25",,,"1.01",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-10-05",,,"1.66",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-10-13",,,"0.01",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-10-23",,,"0.50",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-10-24",,,"0.55",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-10-25",,,"0.53",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-10-26",,,"0.40",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-10-28","    2","2.04",,
"US1TXTV0370","MANOR 5.8 W, TX US","2023-10-29",,,"0.03",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-10-31","    2","0.53",,
"US1TXTV0370","MANOR 5.8 W, TX US","2023-11-10",,,"0.91",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-11-11",,,"0.01",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-11-12",,,"0.05",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-11-13",,,"0.29",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-11-20",,,"0.11",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-12-13",,,"0.05",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-12-14",,,"0.08",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-12-16",,,"0.53",
"US1TXTV0370","MANOR 5.8 W, TX US","2023-12-22","    2","0.38",,
"US1TXTV0370","MANOR 5.8 W, TX US","2023-12-24",,,"1.59",
